sample,frac,seed,method,P,R,F1,F1_oracle
PU-kitten,0.15,19,LOF,1.0,0.44666666666666666,0.6175115207373272,0.8897694524495677
PU-kitten,0.15,101,Calibrated,1.0,0.6933333333333334,0.8188976377952756,0.9116214335421016
PU-kitten,0.15,101,SOR,1.0,0.5933333333333334,0.7447698744769875,0.9352818371607515
PU-kitten,0.15,101,LOF,1.0,0.43866666666666665,0.6098239110287302,0.8948126801152738
PU-moai,0.05,7,Calibrated,1.0,0.734,0.8465974625144175,0.8712041884816754
PU-moai,0.05,7,SOR,1.0,0.628,0.7714987714987714,0.8670157068062826
PU-moai,0.05,7,LOF,1.0,0.618,0.7639060568603214,0.8544502617801046
PU-moai,0.05,19,Calibrated,1.0,0.738,0.8492520138089759,0.875392670157068
PU-moai,0.05,19,SOR,1.0,0.604,0.7531172069825436,0.8712041884816754
PU-moai,0.05,19,LOF,1.0,0.614,0.7608426270136308,0.8523560209424085
PU-moai,0.05,101,Calibrated,1.0,0.73,0.8439306358381503,0.8837696335078533
PU-moai,0.05,101,SOR,1.0,0.638,0.778998778998779,0.8858638743455498
PU-moai,0.05,101,LOF,1.0,0.638,0.778998778998779,0.8607329842931938
PU-moai,0.15,7,Calibrated,1.0,0.598,0.7484355444305382,0.8739193083573488
PU-moai,0.15,7,SOR,1.0,0.512,0.6772486772486772,0.8991354466858789
PU-moai,0.15,7,LOF,1.0,0.49266666666666664,0.6601161232693167,0.8782420749279538
PU-moai,0.15,19,Calibrated,1.0,0.5953333333333334,0.7463435018804847,0.8731988472622478
PU-moai,0.15,19,SOR,1.0,0.5046666666666667,0.6708019494904741,0.8991354466858789
PU-moai,0.15,19,LOF,1.0,0.47,0.6394557823129251,0.882564841498559
PU-moai,0.15,101,Calibrated,1.0,0.588,0.7405541561712845,0.8890489913544668
PU-moai,0.15,101,SOR,1.0,0.514,0.678996036988111,0.904178674351585
PU-moai,0.15,101,LOF,1.0,0.4666666666666667,0.6363636363636364,0.8782420749279538
PU-pig,0.05,7,Calibrated,1.0,0.852,0.920086393088553,0.9319371727748691
PU-pig,0.05,7,SOR,1.0,0.688,0.8151658767772512,0.9298429319371727
PU-pig,0.05,7,LOF,1.0,0.754,0.8597491448118586,0.9151832460732984
PU-pig,0.05,19,Calibrated,1.0,0.82,0.9010989010989011,0.9151832460732984
