shape,sigma,noise,seed,method,overall,near,smooth,time
ridge90,1.0,gauss,19,Prior-v2,36.79588809284142,26.087915270285766,37.42492560834123,4.619333982467651
ridge90,1.0,gauss,101,Bilateral,7.588924963731802,6.557765804590588,7.637357407584988,0.7110655307769775
ridge90,1.0,gauss,101,MLS,21.939618927854188,17.8128252417877,22.137669166632257,0.5518035888671875
ridge90,1.0,gauss,101,GLR,30.807228657981035,24.291944745881278,31.126527450975416,0.6321663856506348
ridge90,1.0,gauss,101,Prior-v1,6.010683083148138,4.785498980554726,6.068284934018331,4.569867849349976
ridge90,1.0,gauss,101,Prior-v2,38.10335606147041,32.46380350094624,38.379313313531114,4.530683517456055
ridge90,1.0,laplace,7,Bilateral,7.762960111886475,7.047927576144697,7.797427673662261,0.7132759094238281
ridge90,1.0,laplace,7,MLS,21.106469295151264,18.498733891228746,21.233836209557587,0.5557272434234619
ridge90,1.0,laplace,7,GLR,29.170761175254967,24.911649361115074,29.381699163610797,0.6280930042266846
ridge90,1.0,laplace,7,Prior-v1,6.180578714720786,5.492937436923362,6.21371858548514,4.595818042755127
ridge90,1.0,laplace,7,Prior-v2,33.198873449175125,28.16472159832696,33.450137796000604,4.628870964050293
ridge90,1.0,laplace,19,Bilateral,7.7808164769631265,7.126750444140995,7.814067829994265,0.7072153091430664
ridge90,1.0,laplace,19,MLS,21.282029881647844,19.056529106241204,21.3964260876363,0.5692062377929688
ridge90,1.0,laplace,19,GLR,29.37056241331808,25.296140545038337,29.583200787716592,0.6216788291931152
ridge90,1.0,laplace,19,Prior-v1,6.328642843187904,5.386744736007398,6.3766012957855995,4.6200995445251465
ridge90,1.0,laplace,19,Prior-v2,34.121818631755474,32.102522901553165,34.22574365873135,4.618616104125977
ridge90,1.0,laplace,101,Bilateral,7.629548292859845,6.12516801936398,7.705122259397045,0.6939036846160889
ridge90,1.0,laplace,101,MLS,20.669253858687718,15.995191782382868,20.90928957797493,0.5513603687286377
