regime,scene,tag,method,n,raw_rmse_cm,dRMSE,dMAE,disp_med_mm,disp_p95_mm,disp_med_sig,disp_med_ell,sigma_g_mm,ell_mm
iphone-frame,21d970d8de,frame_005470.jpg,Prior-v2,12288,6.210578911196154,0.0007079847684332563,0.0019453720966899901,0.0006097434690695345,0.1695059573787886,0.0007943641375733096,3.71166236134196e-05,0.7675868527220601,16.42777304808414
iphone-frame,21d970d8de,frame_006070.jpg,Bilateral,11676,6.543207872400671,0.03288464591900686,0.04365731518969351,0.18139309460950065,2.439710876538453,0.4464341173398394,0.014878591500013331,0.4063154833325261,12.191550160810554
iphone-frame,21d970d8de,frame_006070.jpg,MLS,11676,6.543207872400671,0.055069067497859336,0.039471262909440696,0.40443110544564037,6.0750672298150565,0.9953622764586949,0.03317306659759326,0.4063154833325261,12.191550160810554
iphone-frame,21d970d8de,frame_006070.jpg,GLR,11676,6.543207872400671,0.0872271334060204,0.05179049096579735,0.5211917671566304,9.061076590875278,1.2827268151318847,0.04275024588663373,0.4063154833325261,12.191550160810554
iphone-frame,21d970d8de,frame_006070.jpg,Prior-v2,11676,6.543207872400671,7.939647643784298e-05,0.0004770624184691208,0.0003031695329678631,0.08209391232025688,0.0007461431933018604,2.4867184971893658e-05,0.4063154833325261,12.191550160810554
iphone-frame,21d970d8de,frame_006970.jpg,Bilateral,9923,11.044441670449666,0.05672025183357521,0.06965073222499063,0.33383338731447737,4.794855546524872,0.5890080711755326,0.013664679970615386,0.566772176923162,24.430384613374784
iphone-frame,21d970d8de,frame_006970.jpg,MLS,9923,11.044441670449666,0.11946919270501288,0.12150122308336453,0.7563882286785495,12.13155658329985,1.3345542673781245,0.030960962777208688,0.566772176923162,24.430384613374784
iphone-frame,21d970d8de,frame_006970.jpg,GLR,9923,11.044441670449666,0.15701195992749994,0.10151657581294327,0.9914745028710864,17.353968857608116,1.7493351676226807,0.040583663275104764,0.566772176923162,24.430384613374784
iphone-frame,21d970d8de,frame_006970.jpg,Prior-v2,9923,11.044441670449666,4.305592393727409e-05,2.3575296215216923e-05,1.8554064664960726e-05,0.06625450990475018,3.273637166338839e-05,7.594667442952804e-07,0.566772176923162,24.430384613374784
iphone-frame,21d970d8de,frame_007750.jpg,Bilateral,9302,6.251300243830839,0.1275781409685317,0.0913269739270195,0.24271606878018087,3.8900826406913454,0.3977262114281167,0.011145919267955731,0.6102591717828537,21.77622705978485
iphone-frame,21d970d8de,frame_007750.jpg,MLS,9302,6.251300243830839,0.29699438980682613,0.16682903442747365,0.5344214900534296,10.371900456730033,0.8757287295107826,0.02454150981075269,0.6102591717828537,21.77622705978485
iphone-frame,21d970d8de,frame_007750.jpg,GLR,9302,6.251300243830839,0.34568426924915796,0.1202094369646689,0.6782767157867425,13.43948456941854,1.1114568138217746,0.031147577304986837,0.6102591717828537,21.77622705978485
iphone-frame,21d970d8de,frame_007750.jpg,Prior-v2,9302,6.251300243830839,0.0005463564677343768,0.001428043642315302,0.0017903820965554436,0.0976736166615757,0.00293380612107982,8.221727719672827e-05,0.6102591717828537,21.77622705978485
laser,25f3b7a318,crop,Bilateral,10000,0.9082102735099011,0.40496314801885536,0.2313913406419843,0.3354190144412314,3.267320559501685,0.5896857567672336,0.020293770296724443,0.5688097601176172,16.52817635740544
laser,25f3b7a318,crop,MLS,10000,0.9082102735099011,-2.599762636683267,-3.9456976737798133,0.7787790624988061,8.119211155842546,1.3691380066485392,0.04711826916723069,0.5688097601176172,16.52817635740544
laser,25f3b7a318,crop,GLR,10000,0.9082102735099011,-6.573749824116626,-8.233232548756408,0.9945393839769492,12.041454519368147,1.7484569568968784,0.06017236036274348,0.5688097601176172,16.52817635740544
laser,25f3b7a318,crop,Prior-v2,10000,0.9082102735099011,0.014727896798083506,0.026025354149739055,7.3769055748695e-05,0.13039628777580184,0.00012969020715071942,4.463230192433153e-06,0.5688097601176172,16.52817635740544
iphone-fused,25f3b7a318,crop,Bilateral,10000,2.058985545794089,2.3253235229132807,2.5929794231396186,1.322339668837047,2.931303105087424,0.21406729674723826,0.08960178599285495,6.177214776455757,14.75796106176825
iphone-fused,25f3b7a318,crop,MLS,10000,2.058985545794089,5.117780327982146,5.572432423360018,3.751901032295819,7.15515037443882,0.6073774617629751,0.25422895590646377,6.177214776455757,14.75796106176825
iphone-fused,25f3b7a318,crop,GLR,10000,2.058985545794089,6.315413497870425,6.605713071054997,4.557841229629572,10.415541027458005,0.7378472975010972,0.3088394941716039,6.177214776455757,14.75796106176825
